"","x"
"1",-1.96189328665187
"2",-1.85269780421413
"3",-1.81142154670571
"4",-1.78885499777385
"5",-1.66742358992199
"6",-1.55141743005737
"7",-1.50628822918652
"8",-1.5288652376284
"9",-1.56800833853789
"10",-1.57426948744045
"11",-1.50383342072364
"12",-1.39735403795403
"13",-1.23020603636944
"14",-1.11731140732903
"15",-1.04994142745542
"16",-1.05291575761849
"17",-1.14085133234866
"18",-1.20763358845068
"19",-1.23453220571771
"20",-1.2032660244548
"21",-1.1678814451596
"22",-1.19418666225523
"23",-1.17230193656211
"24",-1.01999386319294
"25",-0.836465502991011
"26",-0.92588401506611
"27",-1.11720529278792
"28",-1.2689412073593
"29",-1.37770516930923
"30",-1.47009789227738
"31",-1.50243528058032
"32",-1.42307918404069
"33",-1.32531068362932
"34",-1.27827119259807
"35",-1.25887396752959
"36",-1.24160829963615
"37",-1.27138903799929
"38",-1.21368665284174
"39",-1.13390203306882
"40",-1.10979727863747
"41",-1.11883218983567
"42",-1.1437139441935
"43",-1.08727012189762
"44",-0.952978718446289
"45",-0.845795961086178
"46",-0.791981012943717
"47",-0.779153529666875
"48",-0.864297803697513
"49",-1.07686609581785
"50",-1.34165377510085
"51",-1.52219555818881
"52",-1.61499783454318
"53",-1.5578011945426
"54",-1.48879624107737
"55",-1.3743283459139
"56",-1.23145483409855
"57",-1.08743261853925
"58",-0.943642466409859
"59",-0.852963715471903
"60",-0.84117694511658
"61",-0.820543895569403
"62",-0.727000842008378
"63",-0.616304017681502
"64",-0.578229532764906
"65",-0.52910413586679
"66",-0.494463140131037
"67",-0.47925218673676
"68",-0.587681299789756
"69",-0.701287933441612
"70",-0.807417942667912
"71",-0.913435871338943
"72",-1.06492156290582
"73",-1.24979118132181
"74",-1.40336426764081
"75",-1.4422900707034
"76",-1.37437068607909
"77",-1.24931571428085
"78",-1.15078027141298
"79",-1.11780805580468
"80",-1.13852787022447
"81",-1.18106203503607
"82",-1.17091026284921
"83",-1.00170413391003
"84",-0.729218331615245
"85",-0.489969342021541
"86",-0.31933561515665
"87",-0.285020664492569
"88",-0.368271637773905
"89",-0.515354685209044
"90",-0.493035330279965
"91",-0.393644417673694
"92",-0.327708205200589
"93",-0.314800523897332
"94",-0.333839805611826
"95",-0.397986842470077
"96",-0.461649044501993
"97",-0.435566678637285
"98",-0.335422711225301
"99",-0.218533868988152
"100",-0.13887584627939
"101",-0.131984228400619
"102",-0.205722042674733
"103",-0.230381817891411
"104",-0.170383413171023
"105",-0.0694088640102581
"106",0.00816290586314494
"107",-0.00723004175660602
"108",-0.0965123295719601
"109",-0.184154166994147
"110",-0.246787828774025
"111",-0.244602771299635
"112",-0.196939564732056
"113",-0.114358353620359
"114",0.0463709500181193
"115",0.192465748844109
"116",0.303809929596708
"117",0.417656341352573
"118",0.526166859775658
"119",0.559994869011334
"120",0.472377445795063
"121",0.306443708923518
"122",0.164912370438655
"123",0.0875996589857335
"124",0.0935819919225387
"125",0.162210744135332
"126",0.273768663391141
"127",0.359250499921522
"128",0.397356606524596
"129",0.372220621239343
"130",0.337667948144476
"131",0.361744174060308
"132",0.557709673481981
"133",0.643596960351108
"134",0.76146858298656
"135",0.859474176546045
"136",0.944372727181022
"137",1.00418467925794
"138",1.04662061548761
"139",1.09672845215398
"140",1.15474671186086
"141",1.21896213213808
"142",1.25928040660055
"143",1.28316796651564
"144",1.26888978214455
"145",1.25970512826319
"146",1.26011341483943
"147",1.23327859119688
"148",1.23530764346416
"149",1.20042590234536
"150",1.14151194907828
"151",1.06555562743576
"152",0.947733566179266
"153",0.874714218657274
"154",0.82902918717973
"155",0.839006183698114
"156",0.867652826715144
"157",0.888621248581202
"158",0.907068859855436
"159",0.91375998495218
"160",0.83326477682977
"161",0.615167557231013
"162",0.435214425379004
"163",0.331185221811946
"164",0.349495716740299
"165",0.386441713813121
"166",0.370313763538959
"167",0.296811257610819
"168",0.269822878693143
"169",0.282394507631295
"170",0.366851302594264
"171",0.423739064817883
"172",0.501287931437211
"173",0.581502718198251
"174",0.607040682651454
"175",0.567509010258637
"176",0.428843659975889
"177",0.26222282014539
"178",0.175512834972909
"179",0.147187428520699
"180",0.160838268098283
"181",0.105774351114462
"182",-0.00429858926381033
"183",-0.0756712286214847
"184",-0.0291634671576579
"185",0.129453861124146
"186",0.282373047881691
"187",0.287905127549815
"188",0.323727091481762
"189",0.333724239144251
"190",0.338942955726418
"191",0.345469309091178
"192",0.386381833251675
"193",0.510241962338231
"194",0.662118797878625
"195",0.783154312078862
"196",0.912472717879548
"197",1.00222372665919
"198",1.00882102090901
"199",1.05887076474597
"200",1.20134882320018
"201",1.39473124556155
"202",1.52935699966473
"203",1.58102831229652
"204",1.47871146008438
"205",1.31230446103047
"206",1.23655409157638
"207",1.18050112871419
"208",1.24381361622183
"209",1.32594772252696
"210",1.36547511320162
"211",1.39281150354005
"212",1.40303505127849
"213",1.39705310371927
"214",1.34369080404934
"215",1.20395409955634
"216",0.993600721040365
"217",0.936450227693491
"218",0.997827286409062
"219",1.05292054945486
"220",1.10586322844568
"221",1.19131239120238
"222",1.25266239880841
"223",1.26388688685427
"224",1.33150502769334
"225",1.36510660278097
"226",1.31934919341212
"227",1.28733168778067
"228",1.28868726454966
"229",1.35880942534098
"230",1.42657551726305
"231",1.50464098982174
"232",1.56572179892123
"233",1.53207478026782
"234",1.5078360952157
"235",1.49516721538693
"236",1.49897663128028
"237",1.48706537565565
"238",1.42279112799946
"239",1.29656242312842
"240",1.15911149658548
"241",1.12507796019368
"242",1.13341732305324
"243",1.130336679502
"244",1.1218418560013
"245",1.12477027318153
"246",1.12921650792778
"247",1.06983713027998
"248",0.951067237731913
"249",0.807537960317848
"250",0.683497657571895
"251",0.513003526973729
"252",0.267711679637434
"253",0.0233493338477699
"254",-0.0439219615061242
"255",-0.0283189837325901
"256",0.0284697490293477
"257",0.0721940936681444
"258",0.11543437054005
"259",0.162106443816726
"260",0.257173807568784
"261",0.343380204915701
"262",0.370215016052792
"263",0.309665612838744
"264",0.176777135922759
"265",-0.0029357677714732
"266",0.00426151009646336
"267",0.0995371154757745
"268",0.164502367839209
"269",0.166535536379988
"270",0.133126980785187
"271",0.0848948447866702
"272",0.0603023754024181
"273",0.0882039387126596
"274",0.124140664199218
"275",0.119402334741967
"276",0.072076822058841
